1182.34,3193.54,0,53,30,33,43,42,44,38,26,20,21,22,26,38,39,27,26,38,44,46,45,34
1322.28,3197.81,0,53,52,18,19,33,30,18,52,53,0,31,35,46,45,43,42,44,38,26,27,23
1899.76,3208.05,0,1,2,17,16,32,1,2,17,16,32,36,47,49,40,41,29,25,24,28,29,12
3207.98,667.71,8,9,10,11,12,29,41,40,28,27,26,20,21,22,23,27,28,29,25,24,23,27
3209.10,695.69,8,9,10,11,25,29,12,9,10,11,25,29,41,40,28,29,12,11,25,29,41,40
3218.62,768.99,9,8,13,41,47,36,35,46,44,38,37,42,44,46,35,36,15,16,32,1,2,17
3218.07,755.00,9,8,7,14,15,16,17,2,1,32,36,47,41,29,12,9,8,13,41,47,14,15
3213.61,643.09,9,8,7,6,15,36,32,16,15,6,5,16,32,31,30,33,43,45,46,44,38,37
3210.82,573.14,9,8,13,41,40,49,48,39,40,49,48,44,42,43,45,46,35,31,32,1,2,17
3208.59,517.19,9,8,13,14,47,49,40,39,27,23,24,25,29,41,40,49,48,39,40,41,13,12
3206.92,475.22,9,8,13,12,11,10,9,12,11,10,9,12,11,10,9,8,7,14,13,12,11,10
2569.79,531.53,9,12,29,41,40,28,27,39,48,49,51,50,48,49,51,50,48,39,40,41,29,12
2681.30,521.05,9,12,29,41,13,12,11,25,24,28,40,39,27,26,38,39,27,26,22,21,20,19
1745.82,3204.03,0,1,32,36,35,46,45,34,33,19,20,26,27,23,22,21,20,26,27,28,29,25
2918.25,498.79,9,12,13,41,40,49,48,44,38,26,27,23,24,28,40,49,47,41,40,49,51,50
3001.58,487.65,9,12,29,25,24,23,22,21,20,19,33,34,35,46,44,48,39,40,49,47,41,13
3197.03,472.60,9,12,29,41,40,28,29,12,9,8,13,12,11,25,24,28,29,25,11,12,9,10
3188.33,193.62,9,10,11,25,29,41,47,49,40,41,29,28,40,39,38,44,42,37,38,44,42,37
3193.41,235.44,9,10,11,25,24,23,22,21,20,26,22,23,27,28,40,41,47,14,15,36,35,34
3202.55,372.19,10,9,12,13,14,47,36,35,46,44,38,26,22,23,27,26,22,21,20,19,18,52
3194.19,176.37,10,9,8,13,14,47,49,48,44,42,37,38,26,20,21,22,23,24,25,11,10,9
2554.89,158.76,10,11,12,13,14,15,6,7,14,13,41,29,25,24,28,29,12,13,14,15,36,35
2862.84,153.09,10,11,25,29,41,13,14,47,49,48,50,51,49,47,41,29,28,27,26,20,21,22
2946.82,151.54,10,11,25,24,23,27,26,20,21,22,26,20,21,22,23,24,28,40,39,48,49,47
1780.72,3211.54,1,0,31,30,33,43,42,37,38,39,27,23,22,26,38,39,40,41,13,12,9,8
3114.79,148.44,10,11,12,9,8,13,12,11,25,29,12,9,8,7,6,5,16,15,14,47,49,48
2701.19,149.46,11,10,9,12,11,10,9,12,13,8,7,14,13,12,11,25,29,41,47,14,7,8
2631.20,150.75,11,10,9,12,13,41,29,12,9,10,11,12,9,8,13,41,47,14,7,8,9,12
2617.20,151.01,11,10,9,12,11,10,9,12,13,41,40,28,27,26,20,21,22,26,38,37,42,43
1790.66,207.60,11,25,29,28,24,23,27,26,22,23,24,28,40,41,13,8,9,12,29,28,40,41
1874.45,201.57,11,25,24,28,40,41,29,28,24,23,27,39,48,50,51,49,40,28,27,23,24,28
1930.30,197.55,11,25,29,41,47,36,15,6,5,4,17,16,5,6,7,14,47,41,29,25,11,12
2209.59,177.46,11,25,29,41,47,14,13,12,29,28,24,25,11,12,13,41,47,49,40,39,48,50
2405.08,163.40,11,25,24,23,27,39,40,41,29,12,11,25,24,28,27,23,22,26,38,44,42,37
2433.01,161.39,11,25,24,23,27,26,22,23,24,25,29,12,9,10,11,12,9,8,13,14,47,49
1934.67,3215.56,1,0,31,30,33,34,35,36,47,14,15,36,35,31,0,1,2,3,4,5,6,15
2511.26,479.56,11,12,13,8,7,6,5,4,17,16,5,4,17,2,3,4,5,6,15,14,47,41
2502.40,452.80,11,12,13,41,40,39,38,26,27,23,24,28,27,26,38,44,48,50,51,49,48,50
2448.93,208.31,12,11,10,9,12,11,25,29,28,40,49,51,50,48,49,40,28,29,25,24,23,22
2479.42,373.55,12,11,25,29,12,9,10,11,12,29,25,11,10,9,12,29,25,11,12,9,10,11
2499.10,469.55,12,11,25,24,23,22,26,38,39,48,44,46,45,34,35,31,30,33,19,18,30,31
1833.12,652.23,12,29,41,13,8,7,6,5,4,17,16,32,36,15,6,7,8,9,10,11,25,29
2081.59,610.19,12,29,41,13,12,11,10,9,8,13,41,47,49,48,44,42,37,38,39,40,41,47
2315.71,567.24,12,29,25,11,12,13,41,47,36,15,6,7,14,15,6,7,14,13,8,7,14,13
2329.51,564.90,12,29,25,24,23,22,26,20,21,22,26,38,39,48,50,51,49,47,41,40,39,27
2495.71,540.13,12,29,41,13,14,7,6,5,4,3,2,17,4,5,6,15,36,35,31,32,16,17
2074.62,3219.22,1,0,31,35,36,15,16,5,4,17,16,5,6,15,36,47,49,51,50,48,39,38
2569.39,857.75,12,13,14,7,8,9,10,11,12,29,28,27,26,38,39,40,28,24,23,22,21,20
2554.01,775.11,12,13,41,47,36,35,34,45,43,42,37,38,26,27,39,40,41,13,12,9,8,7
2525.75,581.16,12,13,41,40,39,27,26,22,21,20,19,33,43,45,46,44,42,43,45,34,33,30
3026.54,478.67,12,9,10,11,25,24,23,22,21,20,19,18,30,31,32,1,0,53,52,18,30,33
2747.76,504.87,12,9,10,11,12,9,10,11,12,13,8,7,14,15,16,32,36,47,41,40,39,38
2622.62,519.93,12,9,8,13,14,47,36,35,31,0,1,2,3,4,17,16,32,1,0,53,30,18
2523.03,585.36,13,12,9,10,11,12,9,8,7,6,5,16,32,36,35,34,45,46,35,31,32,36
2521.78,599.69,13,12,11,25,29,12,9,8,7,14,13,41,40,39,38,37,42,43,33,34,35,46
1875.05,1035.97,13,41,29,12,13,8,9,10,11,12,9,8,13,12,29,28,24,25,29,12,11,10
2068.66,1005.29,13,41,47,49,40,41,47,36,32,1,2,3,4,17,2,3,4,17,16,32,36,47
2161.48,2525.48,1,32,31,0,1,2,17,16,15,36,47,14,13,12,11,25,29,12,13,8,9,10
2096.24,1000.44,13,41,47,14,7,6,5,16,32,36,35,34,33,30,53,52,18,30,31,35,46,45
2234.12,976.21,13,41,47,49,51,50,48,49,51,50,48,49,40,39,48,44,42,37,38,26,22,23
2454.74,937.43,13,41,47,14,7,8,13,14,47,49,48,39,27,28,29,12,13,14,15,36,35,34
2650.88,1389.54,13,14,7,6,5,16,17,4,5,6,15,16,5,6,7,8,9,12,11,25,24,28
2629.56,1251.17,13,14,15,6,5,16,15,14,7,6,15,36,32,1,2,17,16,15,6,5,4,17
2622.04,1224.00,13,14,15,36,47,49,48,50,51,49,48,39,27,28,29,41,47,14,7,8,9,10
2621.04,1195.82,13,14,7,6,5,16,15,6,7,8,9,10,11,25,29,41,40,49,51,50,48,44
2609.25,1140.98,13,14,15,36,32,31,35,34,45,46,44,38,26,27,39,40,49,47,36,15,6,7
2591.19,1002.11,13,14,7,8,9,10,11,12,9,10,11,12,9,10,11,25,24,23,27,26,38,39
2581.54,961.10,13,14,15,36,47,41,13,8,7,14,15,36,47,41,13,8,7,14,13,41,47,49
2158.67,2595.43,1,32,31,30,53,0,31,35,34,33,43,42,37,38,39,27,26,22,21,20,26,27
3175.35,819.62,13,8,7,6,15,16,5,4,3,2,1,0,53,30,33,19,20,26,22,21,20,26
2787.68,877.77,13,8,7,6,5,4,3,2,17,16,15,6,5,4,3,2,1,32,16,5,6,15
2745.65,880.74,13,8,9,12,29,25,24,28,27,23,22,26,38,39,48,49,40,28,27,39,48,50
2574.96,961.80,14,13,41,47,49,40,39,27,26,22,23,24,25,29,12,11,25,29,28,27,26,20
2592.02,1072.50,14,13,41,47,36,15,16,5,4,3,2,1,0,31,32,16,5,6,7,8,9,12
2603.81,1127.34,14,13,8,7,14,15,36,47,49,40,41,13,12,11,25,24,23,22,21,20,19,33
2610.21,1168.85,14,13,8,9,12,29,41,13,12,29,25,24,28,29,12,9,10,11,12,13,8,7
2623.00,1251.87,14,13,8,9,10,11,25,29,12,11,25,29,28,40,49,48,50,51,49,47,36,35
2625.13,1265.71,14,13,8,7,6,15,16,5,4,17,2,3,4,17,2,3,4,17,16,5,6,15
1988.46,1383.05,14,47,49,51,50,48,44,38,26,22,23,27,39,38,37,42,44,46,45,34,35,36
2161.41,2609.55,1,32,16,5,4,17,2,3,4,17,2,3,4,17,16,32,31,35,46,44,38,37
2016.33,1385.70,14,47,36,35,31,32,16,5,4,3,2,1,32,16,17,2,3,4,5,6,7,14
2183.89,1398.30,14,47,41,40,49,47,41,40,49,48,50,51,49,48,44,46,45,43,33,34,35,46
2281.14,1410.85,14,47,36,35,46,44,38,37,42,44,38,37,42,43,33,34,35,31,32,36,15,14
2379.02,1416.84,14,47,41,29,28,40,49,48,39,27,28,24,23,27,28,24,23,27,26,22,23,24
2476.58,1426.11,14,47,41,40,39,38,37,42,43,45,46,44,48,50,51,49,48,50,51,49,47,41
2690.08,1670.43,14,15,36,35,34,33,30,18,19,33,30,31,35,34,33,19,18,30,33,19,20,26
2685.90,1642.75,14,15,36,32,16,15,14,13,41,29,12,11,10,9,12,11,25,29,12,13,41,40
3186.85,1354.06,14,7,6,5,16,32,1,2,3,4,17,2,1,0,31,30,53,0,31,30,18,19
2965.68,1389.56,14,7,6,15,16,5,6,7,8,13,41,40,39,48,50,51,49,47,41,29,28,40
2951.34,1388.52,14,7,8,13,41,47,36,15,16,5,4,3,2,17,4,3,2,1,0,31,35,46
2155.87,2665.37,1,32,31,30,33,34,35,36,47,49,40,39,48,49,51,50,48,49,47,36,32,1
2826.93,1408.49,14,7,8,13,12,11,10,9,8,13,41,47,49,40,39,27,26,38,44,48,39,40
2799.28,1412.93,14,7,8,13,12,29,41,13,8,7,6,5,4,17,2,3,4,17,16,5,6,15
2688.70,1430.68,14,7,8,9,10,11,12,29,25,24,28,40,39,38,44,46,45,34,33,19,20,26
2655.81,1487.48,15,14,47,36,32,1,0,31,30,53,0,1,32,36,15,14,7,8,9,10,11,12
2659.99,1515.16,15,14,47,41,29,28,40,39,38,44,46,35,36,15,16,32,1,0,31,30,53,52
2690.39,1694.63,15,14,7,8,9,12,29,41,13,14,47,49,40,41,47,36,15,6,5,16,15,14
1987.89,1757.71,15,36,47,49,48,44,38,39,48,50,51,49,47,36,35,31,32,36,47,41,40,39
2085.92,1755.58,15,36,32,1,2,3,4,5,6,7,14,47,36,32,16,5,6,7,8,13,12,9
2183.59,1746.86,15,36,35,46,44,42,37,38,39,27,23,22,21,20,19,33,34,35,46,44,48,50
2715.62,2145.15,15,16,17,4,5,16,17,4,5,16,32,1,2,3,4,5,16,17,2,3,4,17
2151.94,2763.29,1,32,36,35,46,44,42,37,38,44,48,39,40,28,27,26,38,37,42,44,38,39
2710.32,2089.31,15,16,32,31,0,53,52,18,30,31,32,16,5,4,3,2,1,0,53,52,18,19
2713.13,2075.20,15,16,17,2,3,4,17,16,32,36,15,16,5,4,3,2,17,4,3,2,17,16
2708.33,2033.34,15,16,32,31,30,18,52,53,0,1,32,16,17,2,3,4,17,2,1,32,16,5
2704.35,1921.41,15,16,32,36,47,41,40,28,29,12,13,14,15,16,17,4,5,16,17,4,3,2
2700.67,1725.42,15,16,5,4,17,16,5,4,3,2,17,16,5,4,17,2,1,32,16,5,4,17
3207.32,1746.94,15,6,7,8,9,12,11,25,29,28,27,39,48,50,51,49,47,41,13,8,9,10
3165.42,1744.07,15,6,7,8,13,14,47,41,40,28,29,12,9,8,13,14,7,6,5,4,17,2
3109.55,1740.24,15,6,7,8,13,41,47,36,15,6,5,16,32,36,47,14,13,41,40,39,38,26
2900.04,1725.89,15,6,7,8,9,12,29,28,40,49,48,44,46,35,36,32,16,15,14,13,8,7
2857.91,1726.31,15,6,5,16,17,4,3,2,17,16,5,6,15,36,47,14,15,16,5,4,3,2
1574.16,3205.49,0,53,52,18,30,53,0,1,32,16,17,2,1,0,31,32,16,5,4,17,2,3
2148.57,2847.22,1,32,36,35,46,44,42,43,33,34,35,36,47,49,51,50,48,44,42,37,38,44
2760.37,1716.32,15,6,7,14,47,41,13,12,9,10,11,12,29,28,27,23,24,25,11,10,9,12
2718.24,1716.74,15,6,5,16,32,36,47,41,40,39,38,26,27,28,24,23,22,21,20,26,27,23
2695.45,1764.46,16,15,14,13,8,9,10,11,12,29,25,24,28,29,41,47,36,15,6,5,16,17
2706.11,2156.33,16,15,36,35,31,0,53,30,33,43,42,37,38,44,48,39,27,28,40,49,48,50
2706.61,2170.32,16,15,36,47,49,48,50,51,49,40,39,38,37,42,44,48,39,27,26,20,19,18
2228.00,2189.11,16,32,36,15,14,7,6,5,4,17,2,1,0,31,32,36,15,6,5,4,17,2
2256.00,2189.40,16,32,31,35,46,44,38,26,27,23,22,26,27,28,24,23,22,26,20,21,22,26
2451.95,2194.73,16,32,31,30,53,0,31,32,36,15,14,13,41,29,12,11,10,9,12,29,41,40
2864.98,2899.79,16,17,2,1,0,31,35,34,33,30,53,0,31,35,36,32,16,17,2,1,0,53
2859.44,2858.02,16,17,4,5,6,15,16,32,1,0,53,30,33,43,45,34,33,19,18,30,31,0
2149.07,2917.30,1,32,36,47,14,15,36,47,49,51,50,48,49,40,28,24,25,29,12,9,10,11
2821.15,2694.41,16,17,2,1,0,53,52,18,30,33,34,45,46,35,36,47,41,40,39,48,49,51
2795.16,2556.81,16,17,2,3,4,5,16,15,6,5,4,17,2,3,4,17,2,1,0,31,30,53
2748.41,2337.74,16,17,2,3,4,17,2,1,32,31,35,36,47,49,48,39,27,26,38,44,46,35
3211.91,2189.48,16,5,4,3,2,17,4,5,16,32,1,2,17,16,15,36,35,34,45,43,42,44
3085.90,2186.52,16,5,6,7,8,13,14,47,49,40,28,27,26,22,23,27,28,29,12,9,10,11
3071.90,2186.56,16,5,6,15,14,13,41,29,25,11,10,9,12,13,14,47,41,13,12,29,28,27
2805.91,2187.28,16,5,6,7,8,9,12,11,10,9,8,7,14,15,36,35,46,45,43,42,37,38
2742.47,2341.53,17,16,5,6,15,14,13,8,7,6,5,16,15,36,35,31,0,1,32,16,15,6
2862.27,2902.89,17,16,15,6,5,16,15,14,7,8,9,10,11,12,29,28,24,23,27,28,24,23
3260.09,2980.02,17,4,3,2,17,4,5,16,32,1,0,31,35,46,45,34,33,30,53,52,18,30
2143.45,3057.19,1,32,36,15,16,17,4,3,2,17,16,32,1,0,31,30,33,19,18,30,53,52
3022.90,2960.47,17,4,3,2,17,4,5,6,15,16,5,6,15,16,5,6,15,14,47,36,32,16
3008.94,2959.32,17,4,3,2,1,0,53,52,18,30,33,19,18,30,33,19,20,21,22,23,24,25
2897.66,3196.00,17,2,1,32,31,0,1,32,36,47,49,40,41,13,12,11,10,9,12,13,8,9
2894.71,3125.99,17,2,3,4,17,2,3,4,17,2,3,4,17,16,32,1,0,53,30,18,52,53
2893.46,3112.04,17,2,3,4,5,6,7,8,9,12,11,10,9,8,13,14,7,6,15,16,5,4
2883.94,3042.61,17,2,1,32,16,5,4,3,2,1,0,53,30,31,0,53,30,33,43,45,46,35
122.54,3119.30,18,52,53,30,18,19,33,34,45,46,44,38,39,27,28,29,25,11,12,13,8,7
123.74,2755.30,18,52,53,30,18,52,53,30,18,52,53,30,31,0,1,2,3,4,17,16,15,36
124.06,2657.30,18,52,53,0,31,35,34,33,19,18,30,33,43,42,44,38,37,42,44,46,45,43
124.57,2503.30,18,52,53,0,1,32,16,15,36,32,1,2,3,4,17,2,3,4,5,16,32,1
2140.65,3127.14,1,32,36,15,6,7,8,9,10,11,12,29,25,24,28,40,49,48,44,42,43,33
127.87,1969.14,18,19,33,34,45,43,42,44,38,26,22,23,24,25,11,12,9,10,11,12,13,41
126.22,2053.13,18,19,33,34,45,43,33,34,35,46,44,48,39,40,41,29,12,13,8,9,10,11
119.90,2375.07,18,19,20,26,38,37,42,43,33,34,35,46,45,34,35,31,30,18,19,33,43,42
743.89,2468.13,18,30,53,52,18,19,33,30,18,19,20,26,22,21,20,19,18,30,31,32,36,35
505.91,2463.86,18,30,31,35,36,15,6,7,8,13,14,7,6,5,16,15,36,47,49,48,50,51
183.90,2465.84,18,30,31,32,16,5,4,3,2,17,4,3,2,17,4,5,6,15,16,5,4,17
155.90,2465.72,18,30,53,52,18,30,31,0,53,52,18,30,33,43,42,37,38,44,42,37,38,26
125.62,2419.77,19,18,30,33,34,45,46,35,31,30,18,19,33,43,42,44,38,26,27,39,48,50
128.10,2293.79,19,18,52,53,30,31,32,16,17,2,3,4,5,16,15,6,5,4,17,16,5,4
128.65,2265.79,19,18,30,53,0,31,35,36,47,41,40,39,48,50,51,49,47,41,29,28,27,39
2776.57,3233.63,1,2,17,4,5,16,15,6,5,16,15,6,5,4,3,2,17,4,5,16,17,2
125.90,2237.73,19,18,52,53,0,1,32,36,15,16,17,2,1,32,16,15,6,5,4,17,2,1
153.00,1227.91,19,20,26,27,28,40,39,48,49,40,28,29,12,11,25,24,23,22,26,38,39,48
152.02,1255.89,19,20,26,38,44,42,43,45,34,35,36,32,31,0,53,52,18,19,20,26,38,44
143.36,1409.69,19,20,21,22,23,24,25,11,10,9,12,13,8,9,12,11,10,9,12,13,41,29
146.17,1423.79,19,20,26,38,39,40,41,29,28,27,26,20,21,22,26,27,23,24,25,11,10,9
132.99,1801.56,19,20,26,38,37,42,43,33,34,35,31,32,36,47,49,51,50,48,44,42,43,33
642.69,1908.64,19,33,34,45,43,42,44,46,45,43,33,19,18,52,53,0,31,32,16,5,6,15
147.71,1568.86,20,19,18,30,53,0,31,30,18,52,53,30,31,32,36,35,31,0,53,30,33,34
152.59,1428.94,20,19,33,43,45,34,33,30,18,19,33,30,31,35,46,44,42,43,45,34,33,19
154.55,1372.98,20,19,18,30,33,19,20,21,22,23,27,39,40,41,29,12,9,8,7,6,15,16
2412.74,3222.60,1,2,3,4,5,16,32,31,0,1,32,16,5,6,7,14,47,49,51,50,48,39
159.43,1233.06,20,19,33,43,45,34,33,19,20,26,27,39,48,44,46,45,43,42,37,38,39,48
163.82,1107.14,20,19,33,34,35,36,47,14,13,8,7,6,5,4,3,2,1,32,36,15,14,13
167.15,670.41,20,21,22,26,27,23,24,25,11,10,9,12,13,41,40,49,48,39,27,23,24,28
166.88,684.41,20,21,22,26,27,23,22,21,20,26,27,39,48,44,38,37,42,44,46,45,34,35
165.83,740.40,20,21,22,23,27,28,24,25,11,10,9,12,11,10,9,8,13,12,11,25,29,28
165.30,768.39,20,21,22,26,27,23,22,21,20,26,38,44,48,49,47,14,15,36,35,31,0,53
162.91,894.37,20,21,22,23,27,39,40,41,13,12,11,10,9,12,29,28,27,39,38,37,42,44
641.20,856.81,20,26,27,28,24,23,22,21,20,26,27,23,22,26,27,23,24,25,29,28,24,23
453.17,912.14,20,26,27,23,22,21,20,19,33,30,18,52,53,0,31,30,18,52,53,0,1,2
373.51,939.01,20,26,38,39,27,23,24,25,29,41,40,49,48,50,51,49,40,41,13,14,47,41
2216.83,3216.66,1,2,17,4,3,2,1,32,31,0,53,52,18,30,31,32,1,2,3,4,5,6
278.57,963.51,20,26,22,21,20,26,27,39,48,50,51,49,40,39,48,49,51,50,48,39,38,37
168.50,947.83,21,20,19,33,34,45,46,35,34,33,43,45,46,35,36,15,14,7,8,9,12,11
169.03,919.83,21,20,19,33,30,18,52,53,30,31,0,1,32,36,15,14,47,36,15,6,5,4
171.68,779.86,21,20,19,33,30,31,32,1,2,17,16,32,31,30,18,52,53,0,1,32,16,15
385.80,418.52,21,22,23,27,26,20,21,22,23,27,39,38,37,42,44,48,49,47,36,32,1,2
675.90,806.22,22,26,27,39,40,41,29,28,40,41,29,25,24,23,22,21,20,19,33,43,42,37
605.62,685.15,22,26,38,39,48,50,51,49,47,36,35,34,45,46,44,48,49,40,28,29,41,40
500.19,503.53,22,26,27,28,24,25,29,12,11,10,9,12,13,41,47,14,15,36,47,41,13,8
1003.56,313.19,22,23,24,25,29,12,13,8,7,6,5,16,15,36,47,14,13,41,47,36,32,16
520.13,393.20,22,23,24,25,11,10,9,8,13,41,29,25,11,12,9,8,7,14,47,49,48,39
2873.22,2996.87,2,17,16,32,36,15,6,7,8,9,12,11,10,9,8,7,14,13,41,47,36,15
465.51,405.96,22,23,27,26,22,23,24,28,27,23,24,28,27,26,38,44,46,45,34,35,36,15
228.43,448.92,22,21,20,26,38,37,42,44,48,50,51,49,40,28,29,25,11,10,9,8,7,6
408.39,421.78,22,21,20,26,27,28,24,23,22,21,20,26,38,37,42,44,38,26,27,23,22,21
486.03,409.12,23,22,21,20,19,33,34,35,46,45,43,33,30,53,52,18,30,53,0,31,30,18
555.01,397.22,23,22,21,20,26,22,21,20,26,27,28,40,41,13,8,7,6,15,16,5,4,3
1089.34,549.87,23,27,39,38,26,27,23,24,25,29,28,40,49,47,14,15,16,17,2,1,0,31
1058.54,356.28,23,27,28,40,49,51,50,48,49,51,50,48,49,40,28,29,12,11,10,9,8,13
1274.03,269.93,23,24,25,11,10,9,12,13,14,15,36,47,41,29,25,24,23,22,21,20,19,33
1095.47,304.78,24,23,22,21,20,26,22,21,20,19,18,30,33,19,20,26,38,37,42,43,45,34
1150.79,296.05,24,23,22,21,20,19,33,43,42,44,46,35,36,47,41,40,28,27,26,22,21,20
